公開/特許番号,公開/登録日,発明の名称,出願番号,出願日,出願人,発明者,要約_課題,要約_解決手段,特許ステータス
特開2025-46975,令和7年4月3日,システム,特願2023-155257,令和5年9月21日,ソフトバンクグループ株式会社,"['', '', '', '', '']",本発明は、個々の好みに合わせた都市計画を提案するために、個人情報を収集し、アバターを作成するシステムを提供することを目的とする。,個人情報を収集し、仮想的な存在であるアバターを作成し、都市計画の提案を行うためのシステム。このシステムは、許可を得た個人から提供されたアンケートやIoTセンサーで収集したユーザーの行動データ、ソーシャルメディアの投稿などの情報を使用してアバターを生成する手段と、アバターを用いて都市計画を提案する手段と、データ提供者に対して地域通貨を提供する手段とを含む。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-046975
審査請求前 (公開公報の発行)"
特開2025-46948,令和7年4月3日,システム,特願2023-155224,令和5年9月21日,ソフトバンクグループ株式会社,[''],本発明は、都市の人口動態情報を基に将来の発展に合わせた総合計画＆都市インフラ設計データを生成し、不足する都市計画＆設計技術を支援する課題を解決しようとする。,人口情報、地理情報、経済状況を基に、将来の発展に合わせた総合計画＆都市インフラ設計データを生成するための手段と、都市計画＆設計技術の不足を支援するための手段と、情報収集IoTにより都市の人口動態を収集し、その情報を都市インフラ設計生成サービスへ自動連携するための手段とを含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-046948
審査請求前 (公開公報の発行)"
特開2025-46942,令和7年4月3日,システム,特願2023-155217,令和5年9月21日,ソフトバンクグループ株式会社,[''],本発明は、生物データベース化とデータ利用回数に応じた対象生物の保護を実現し、専門知識がない市民科学の推進を促進するためのシステムを提供することを目的とする。,生物データベース化とデータ利用回数に応じた対象生物の保護を実現するためのシステムであり、学習サンプル収集の助手として生成系AIを活用し、専門知識がない市民科学の推進を促進する手段を含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-046942
審査請求前 (公開公報の発行)"
特開2025-46863,令和7年4月3日,システム,特願2023-155128,令和5年9月21日,ソフトバンクグループ株式会社,[''],本発明は、IoT家電とユーザーとの間における直接的なコミュニケーションを実現することを目的とする。,IoT家電とユーザーとの直接的なコミュニケーションを可能にするためのシステムであり、前記システムは、音声認識手段、生成系AI、MRGUIを含むことを特徴とする。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-046863
審査請求前 (公開公報の発行)"
特開2025-46392,令和7年4月2日,システム,特願2023-154596,令和5年9月21日,ソフトバンクグループ株式会社,[''],本発明が解決しようとする課題は、高齢者の孤独感を和らげ、ユーザーとの深いつながりを築きながら、日常生活をサポートすることである。,高齢者の孤独感を和らげるためのシステムであり、ユーザーニーズ/好みに応じてカスタマイズ可能なアバターや人格形成、画像生成の機能を組み合わせて交流し、ユーザーとの深いつながりを築く手段と、日々の生活で必要とする情報やリマインダー機能、健康管理機能を備えたIOTと連携し日常生活をサポートする手段とを含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-046392
審査請求前 (公開公報の発行)"
特開2025-45754,令和7年4月2日,システム,特願2023-153742,令和5年9月20日,ソフトバンクグループ株式会社,[''],本発明は、日常的な行動パターンや属性を効率的に分類し、個人の行動評価や社会的なつながりの促進を図ることを目的としている。,データを収集する手段と、収集されたデータを分類する手段と、分類されたデータを表示する手段とを含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-045754
審査請求前 (公開公報の発行)"
特開2025-45186,令和7年4月2日,システム,特願2023-153094,令和5年9月20日,ソフトバンクグループ株式会社,[''],本発明は、リアル店舗における顧客行動分析の新たな視点を提供し、小売業者の成長に貢献することを目的とする。,生成AIを活用したリアル店舗マーケティングサービスを提供するためのシステムであり、POSデータと関連づけた映像データを収集し、顧客行動分析を行う手段と、小売業者向けに販売展開するためのIoTカメラと防犯カメラサービスを組み合わせる手段と、を含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-045186
審査請求前 (公開公報の発行)"
特開2025-45032,令和7年4月2日,システム,特願2023-152905,令和5年9月20日,ソフトバンクグループ株式会社,[''],システムを提供する。,高齢化が進む農業就業者のノウハウが書かれた型式もバラバラな農業ノートを生成ＡＩに取り込む手段と、生成系ＡＩ等により有益な情報が会話形式で必要な人に提供する手段と、後継者不足の課題をＩＴリテラシーの低い高齢者でも伝承することが可能となり一方で経験少ない後継者もＣｈａｔ形式で匠の技を取得する手段と、気象情報などオープンデータやＩｏＴなどセンサーデータと掛け合わせることで最適な提案を自然言語により提供する手段と、自動化連動する手段を含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-045032
審査請求前 (公開公報の発行)"
特開2025-44720,令和7年4月2日,システム,特願2023-152457,令和5年9月20日,ソフトバンクグループ株式会社,[''],システムを提供する。,ウェアラブルデバイスからユーザー情報を取得する手段と、取得したユーザー情報に基づいて家庭環境を調整するＩｏＴデバイスと、これらのデバイスを制御する手段を含むシステム。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-044720
審査請求前 (公開公報の発行)"
特開2025-44297,令和7年4月1日,トラスト環境におけるサービスリクエストを管理するためのリクエストマネージャ、コンピュータ実装方法及びコンピュータプログラム（トラスト環境におけるサービスリクエストを管理するためのリクエストマネージャ）,特願2024-162371,令和6年9月19日,インターナショナル・ビジネス・マシーンズ・コーポレーション,"['', '', '', '']",大きいがこれまで十分に利用されていない累積能力を有し得るＩｏＴデバイスの未活用に存在する技術的問題を認識し、それに対処する。,トラスト環境におけるサービスリクエストを管理するためのリクエストマネージャ、ここで、トラスト環境は、インターネットオブシングス（ＩｏＴ）デバイスを含む環境内で通信するように構成されている複数のデバイスを含む。リクエストマネージャは、プロセッサ；プロセッサがサービスリクエストを管理するためのプログラムを格納するメモリ；及び、プロセッサがサービスリクエストを受信するためにクライアントデバイスと、及び、サービスリクエストを完了するために、サービスを提供する、トラスト環境におけるデバイスと通信するためのネットワーク接続を含む。プログラムは、リクエストマネージャに、サービスリクエストをクライアントデバイスから受信させ、及び、トラスト環境内において利用可能なサービスを用いてサービスリクエストをどのように完了するかを判定させる。 【選択図】図２ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 拡大および回転 代表図面 >,"特開2025-044297
審査請求前 (公開公報の発行)"
特許第7653694号,令和7年3月21日,高皮膚浸透率のグラブリジン組成物及びその調製方法と応用,特願2024-195573,令和6年11月8日,▲広▼州梵之容化▲妝▼品有限公司,"['', '', '', '', '', '']",高皮膚浸透率のグラブリジン組成物及びその調製方法と応用の提供。,本発明は、高皮膚浸透率のグラブリジン組成物及びその調製方法と応用を提供し、化粧品分野に属する。グラブリジン組成物はＳ１相、Ｓ２相及びＳ３相から調製され、Ｓ１相は油脂とグラブリジンから構成され、Ｓ２相は３－Ｏ－エチルアスコルビン酸、陰イオン界面活性剤、非イオン界面活性剤、多価アルコール及び水から調製され、Ｓ３相は水である。グラブリジン組成物は通常の乳化設備を用いて調製され、調製コストが低く、操作技術が簡単で、組成物は皮膚浸透性がよく、高温と低温の条件下で、状態安定性がよく、含有量安定性がよく、ｐＨ安定性がよく、かつ温和性が高く、予測できない技術効果を有する。 【選択図】なし 請求の範囲 開く 詳細な説明 開く,"特許7653694
特許 有効 (登録公報の発行)"
令和7年3月19日,令和7年3月19日,凍結結晶エクソソームの溶出システム,実願2025-323,令和7年1月30日,緑茵生技股▲フン▼有限公司,"['徐榜奎', '林育正']",エクソソームを安定して単離する効果を奏する凍結結晶エクソソームの溶出システムを提供する。,溶出抽出部２０と、低温凍結結晶生成部３０と、圧力制御部４０とを含み、圧力制御部及び低温凍結結晶生成部が協働し、並びに溶出抽出部の温度及び圧力を制御することにより、溶出抽出部に温度差及び圧力変化を生じさせ、細胞内に氷晶を形成し、細胞組織を破壊できることで、細胞内から構造及び機能が完全なエクソソームを安定して単離する効果を奏することができる。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 拡大および回転 代表図面 >,実登3250767
特開2025-41695,令和7年3月26日,抗体および使用方法,特願2024-216214,令和6年12月11日,オックスフォード  バイオセラピューティックス  リミテッド,"['', '']",本発明は、ＮＴＢ－ＡまたはＣＤ３５２としても知られるＳＬＡＭファミリーメンバー６（ＳＬＡＭＦ６）に対する抗体およびその使用を提供する。,特定の配列を有する、ＳＬＡＭＦ６に結合する抗体またはその抗原結合フラグメントを開示する。さらに、他の治療用タンパク、かかる抗体および治療用タンパクをコードする核酸、抗体および他の治療用タンパクを調製する方法、ならびにＳＬＡＭＦ６に対する抗体および他の治療用タンパクを用いることによる癌などの疾患の治療方法を開示する。 【選択図】図２０ 請求の範囲 開く 詳細な説明 開く 図面 開く 配列表 開く 手続補正書 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2 3a 3b 4 5 6 7 8 ... 拡大および回転 代表図面 >,"特開2025-041695
審査中 (公開公報の発行)"
特開2025-41153,令和7年3月26日,コンクリートディストリビュータおよびこれを備えたコンクリート打設システム,特願2023-148268,令和5年9月13日,清水建設株式会社,"['', '']",コンクリート打設工事の効率化と省人化を図ることができるコンクリートディストリビュータおよびこれを備えたコンクリート打設システムを提供する。,基台２４に対して姿勢を変更可能に支持されたブーム２６と、前記ブーム２６に沿って設けられた圧送管２８とを備え、前記圧送管２８を介してコンクリートポンプ１４により圧送される生コンクリートをコンクリート打設箇所２０に供給するコンクリートディストリビュータ１２であって、前記圧送管２８の吐出口３８の位置または前記ブーム２６の先端位置を示すデータをリアルタイムに収集するデータ収集部４０と、前記データに基づいて、前記コンクリート打設箇所２０における所定期間の打設位置を算出する打設位置算出部４２と、算出した前記打設位置を記録する記録部４４とを備えるようにする。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 拡大および回転 代表図面 >,"特開2025-041153
審査請求前 (公開公報の発行)"
特開2025-41152,令和7年3月26日,コンクリートポンプおよびこれを備えたコンクリート打設システム,特願2023-148267,令和5年9月13日,清水建設株式会社,"['', '']",コンクリート打設工事の効率化と省人化を図ることができるコンクリートポンプおよびこれを備えたコンクリート打設システムを提供する。,コンクリート打設箇所２０に圧送管６０を介して生コンクリートを圧送するコンクリートポンプ１２であって、前記コンクリートポンプ１２の稼働状況を示すデータをリアルタイムに収集するデータ収集部３６と、前記データに基づいて、前記コンクリート打設箇所２０における所定期間の打設数量を算出する打設数量算出部３８と、算出した前記打設数量を記録する記録部４０とを備えるようにする。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 拡大および回転 代表図面 >,"特開2025-041152
審査請求前 (公開公報の発行)"
特開2025-40420,令和7年3月24日,ワイヤレスデバイスのレンジ拡張のためのシステム及び方法,特願2024-154794,令和6年9月9日,アバゴ・テクノロジーズ・インターナショナル・セールス・プライベート・リミテッド,"['', '', '', '', '', '']",広帯域アクセスポイントの通信レンジ内での狭帯域デバイスのワイヤレス通信を容易にするためのデバイス、システム及び方法を提供する。,方法３００は、１つまたはより多くのステーションと広帯域プリアンブルを使用して通信するか、１つまたはより多くの第１のデバイスと狭帯域チャネルを介して通信するアクセスポイント（ＡＰ）を構成し、ＡＰが、ステーションと共に、ステーションとＡＰが広帯域チャネル上での通信を休止するサービス期間（ＳＰ）を確立し、ＡＰからＳＰの間に、１つまたはより多くの狭帯域チャネル上で、１つまたはより多くのプロトコルデータユニットを、１つまたはより多くの第１のデバイスから広帯域プリアンブルなしに受信し、受信したデータを１つまたはより多くの第２のデバイスへと、狭帯域チャネル上で転送する。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く 図面 閉じる 代表図面 1A 1B 1C 2 3 拡大および回転 代表図面 >,"特開2025-040420
審査請求前 (公開公報の発行)"
特開2025-39549,令和7年3月21日,人工包帯、創傷癒合を促進するためのその使用、および製造方法,特願2024-153333,令和6年9月5日,元樟生物科技股▲フン▼有限公司,"['', '', '', '']",創傷癒合を促進することに適した人工包帯およびその製造方法を提供する。,ゼラチン、ポリソルベート－２０、およびグルタルアルデヒドを含む、人工包帯である。人工包帯の製造方法は、ゼラチン、グルタルアルデヒド、およびポリソルベート－２０の組成物を混合発泡ステップ、成形ステップおよび凍結乾燥ステップを順次行うことを含む。この人工包帯は、明らかな細孔があり、自身の重量の約２５～３５倍の液体を吸収することができる。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-039549
審査中 (拒絶理由通知)"
特開2025-39250,令和7年3月21日,口腔内細菌叢改善組成物,特願2023-146202,令和5年9月8日,明治ホールディングス株式会社,"['', '']",口腔内細菌叢を改善する。NMNの口腔内細菌叢に与える影響を明らかにする。,ニコチンアミドアデニンジヌクレオチド（NAD）関連物質、又はその食品又は医薬品として許容可能な塩を含む、口腔内細菌叢を改善するための組成物を提供する。この組成物は、口腔内細菌叢におけるフソバクテリウム（Fusobacterium）門細菌の占有率を低下させるために特に適している。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 配列表 開く 図面 閉じる 代表図面 1 2 3 拡大および回転 代表図面 >,"特開2025-039250
審査請求前 (公開公報の発行)"
特開2025-38120,令和7年3月18日,ガン予防における短鎖脂肪酸の使用,特願2024-220908,令和6年12月17日,テンプル  ユニヴァーシティ  －  オブ  ザ  コモンウェルス  システム  オブ  ハイアー  エデュケーション,"['', '']",肝細胞ガンの発症を予防し又は遅延させるための方法及びキットを提供する。,被験体における肝細胞ガンの発症を予防し又は遅延させるための方法であって、少なくとも１つの短鎖脂肪酸を含む治療有効量の組成物を該被験体に投与することを含む、方法である。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 図面 開く 手続補正書 開く 外国語明細書等 開く 図面 閉じる 1 2 3 4 5 6 7 8 9 10 拡大および回転 図１ >,"特開2025-038120
審査中 (公開公報の発行)"
特開2025-38072,令和7年3月18日,標的細胞又は細胞のスクリーニング方法、及び生物学的培養チップ,特願2024-218145,令和6年12月12日,南京▲リョウ▼芯生物科技有限公司,"['', '']",抗体分泌、成長因子分泌などの細胞生物学的機能の複雑な検出にも適する生物学的培養チップを提供する。,マトリックス材料から形成されたマトリックス；及び培養チャンバーを画定するためにマトリックスの表面上に形成された培養チャンバーを含み、前記マトリックスのマトリックス材料の平衡膨潤比が１．２５乃至１．７５であり；前記培養チャンバーは該マトリックスの表面上に構成された開口部上に形成されて該培養チャンバーを画定する、生物学的培養チップが提供される。 【選択図】図３ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 拡大および回転 代表図面 >,"特開2025-038072
審査中 (公開公報の発行)"
特開2025-38060,令和7年3月18日,ピリミジンホルムアミド化合物及びその使用,特願2024-217532,令和6年12月12日,上海美悦生物科技発展有限公司,"['', '', '', '', '']",強力なＶａｎｉｎ－１阻害活性を有するピリミジンホルムアミド化合物及びその使用を提供する。,本発明は、式（Ｉ）で表されるピリミジンホルムアミド化合物、又はその互変異性体、メソマー、ラセミ体、エナンチオマー、ジアステレオマー、又はその混合物形態又はその薬学的に許容される塩を提供し、それはＶａｎｉｎ酵素阻害剤として使用することができ、クローン病及び潰瘍性大腸炎を含む様々な疾患の治療に使用できる。 【選択図】なし 請求の範囲 開く 詳細な説明 開く 手続補正書 開く,"特開2025-038060
審査中 (公開公報の発行)"
特開2025-37920,令和7年3月18日,環状ペプチド抗生物質,特願2024-203544,令和6年11月21日,エフ・ホフマン－ラ・ロシュ・アクチェンゲゼルシャフト,"['', '', '', '', '', '', '', '', '']",細菌感染症の処置などの微生物感染症の処置のための新規な大環状化合物を提供する。,細菌感染症の処置のための、グロボマイシンに構造的に関連する、環状ペプチド、デプシペプチドおよびペプチド含有化合物であって、一態様として、細菌におけるリポタンパク質の翻訳後プロセシングに関与するリポタンパク質シグナルペプチダーゼＩＩ（ＬｓｐＡ）を阻害する、化合物またはその薬学的に許容され得る塩、溶媒和物もしくは立体異性体が提供される。 【選択図】なし 【特許請求の範囲】 【請求項１】 式（Ｉ）： 式中： Ｒ１ａ、Ｒ２ａ、Ｒ４ａ、Ｒ５ａおよびＲ６ａは、それぞれ独立して、水素または任意に置換されたＣ１～Ｃ６アルキルであり、 Ｒ３ａは、水素、任意に置換されたＣ１～Ｃ２０アルキル、任意に置換されたＣ２～Ｃ２０アルケニル、任意に置換されたＣ２～Ｃ２０アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、または任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであり、 Ｒ２０は、ヒドロキシルまたは－ＮＲ１Ｒ２であり、 Ｒ１およびＲ２は、それぞれ独立して、水素、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリール、－Ｓ（＝Ｏ）２Ｒａ、－Ｓ（＝Ｏ）２ＮＲｂＲｃ、－Ｃ（＝Ｏ）Ｒａ、－Ｃ（＝Ｏ）ＯＲｂ、－Ｃ（＝Ｏ）ＮＲｂＲｃもしくは－Ｃ（＝ＮＲｂ）ＮＲｂＲｃであるか、 または、Ｒ１およびＲ２は、それらが結合している窒素原子とともに、任意に置換されたヘテロシクロアルキルを形成し、 Ｒ３およびＲ４は、それぞれ独立して、水素、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換されたアリール、もしくは任意に置換されたヘテロアリールであるか、 または、Ｒ３およびＲ４は、それらが結合している炭素原子とともに、オキソを形成し、 Ｒ５は、水素、ハロゲン、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニルまたは任意に置換されたＣ２～Ｃ６アルキニルであり、 Ｒ６およびＲ７は、それぞれ独立して、水素、ハロゲン、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、または任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであり、 Ｒ８およびＲ９は、それぞれ独立して、水素、ハロゲン、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、もしくは任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであるか、 または、Ｒ３ａおよびＲ８は、それらが結合している原子とともに、任意に置換されたヘテロシクロアルキルを形成し、 Ｒ１０およびＲ１１は、それぞれ独立して、水素、ハロゲン、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ２０アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、または任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであり、 Ｒ１２およびＲ１３は、それぞれ独立して、水素、ハロゲン、任意に置換されたＣ１～Ｃ２０アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、または任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであり、 Ｒ１４およびＲ１５は、それぞれ独立して、水素、ハロゲン、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、または任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであり、 Ｒ１６およびＲ１７は、それぞれ独立して、水素、ハロゲン、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）シクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロシクロアルキル、任意に置換されたアリール、任意に置換された（Ｃ１～Ｃ６アルキル）アリール、任意に置換されたヘテロアリール、または任意に置換された（Ｃ１～Ｃ６アルキル）ヘテロアリールであり、 各Ｒａは、独立して、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換されたアリール、または任意に置換されたヘテロアリールであり、 各ＲｂおよびＲｃは、独立して、水素、任意に置換されたＣ１～Ｃ６アルキル、任意に置換されたＣ２～Ｃ６アルケニル、任意に置換されたＣ２～Ｃ６アルキニル、任意に置換されたシクロアルキル、任意に置換されたヘテロシクロアルキル、任意に置換されたアリ 前頁 頁 / 77 頁を 表示 次頁,"特開2025-037920
審査中 (公開公報の発行)"
特開2025-37813,令和7年3月18日,屋内空気清浄システム,特願2024-134996,令和6年8月13日,研能科技股▲ふん▼有限公司,"['', '', '']",クリーンルームクラスの清浄度仕様を満足する屋内空気清浄システムを提供する。,複数の気体センサ１と、少なくとも１つの清浄装置２と、クラウドコンピューティングサービス装置４とを含み、気体センサは屋内外の空気汚染情報を検出し、清浄装置はファン、濾過部材及び殺菌アセンブリを含み、ファンは空気汚染が濾過部材及び殺菌アセンブリを通過するような循環指向性気流を発生させるように作動し、濾過部材は高効率微粒子空気フィルタであり、クラウドコンピューティングサービス装置はモノのインターネット通信を介して屋内外の空気汚染情報をビッグデータデータベースに格納し、知能的に演算比較し、制御命令を清浄装置に伝送することで、空気汚染が迅速に濾過部材及び殺菌アセンブリを通過するようにガイドし、屋内空気環境をクリーンルームクラスに到達させる。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 外国語明細書等 開く 図面 閉じる 代表図面 1 2A 2B 3A 3B 3C 4A 4B 4C ... 拡大および回転 代表図面 >,"特開2025-037813
審査中 (拒絶理由通知)"
令和7年3月7日,令和7年3月7日,ＩＯＴデバイス暗証番号共有システムモジュール,実願2025-170,令和7年1月20日,エムエイチ  ホルディングス  ユーエスエイ  コーポレイション,['陳  明宏'],ロックの管理と制御に便利な、ＩＯＴデバイス暗証番号共有システムモジュールを提供する。,１つのクラウドサーバーモジュール１と、少なくとも１つの第１知能接続デバイス２と、少なくとも１つの第２知能接続デバイス３と、少なくとも１つのスマートロック４とを含み、主に、第１知能接続デバイスのアプリケーションソフトウェアを介して、クラウドサーバーモジュールに接続される。スマートロックの暗証番号情報をリモートで設定し、クラウドサーバーモジュールを介して第２知能接続デバイスに暗証番号情報を送信し、第２知能接続デバイスがそのアプリケーションソフトウェアを通じて受信した暗証番号情報を開いて共有できる、このようにして、スマートロックを開く目的を達成することができる。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 拡大および回転 代表図面 >,実登3250594
特開2025-32933,令和7年3月12日,技術実行管理システム,特願2023-138465,令和5年8月28日,中村  浩康,"['', '']",技術移転元の移転対象技術を技術移転先に移転して、当該移転対象技術の正確な実施を把握できるシステムを提供する。,技術の移転元の技術の実施を管理する実施管理サーバと、前記実施管理サーバと公衆回線を介して接続され技術移転先で実施を指示する実施側端末と、から構成された技術実施管理システムは、暗号化キーを含む特殊合成された電子化コードに基づいて実施管理サーバと実施側端末との間で各工程の実行及び終了をやりとりして技術の実施を管理する。 【選択図】図１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 拡大および回転 代表図面 >,"特開2025-032933
審査請求前 (公開公報の発行)"
特開2025-31728,令和7年3月7日,多様性を持つエッジコンピュータ、エッジコンピュータ制御システム,特願2024-209876,令和6年12月3日,株式会社東芝,"['', '']",本実施形態は、データ処理の多様性を引き出すことができるエッジコンピュータ及びその制御システムを提供する。,本実施形態では、携帯端末、ＩｏＴ機器を含む複数のデバイス、クラウドサーバと通信可能なエッジコンピュータを実現する。エッジコンピュータは、前記クラウドサーバから事前に取り込んだ複数のアプリケーションルールを実行させるためのアプリケーションエンジンと、前記複数のデバイスのそれぞれと、前記クラウドサーバに対応した個々の前記アプリケーションルールを適用するために設けられた複数のマイクロサービスとを備え、内部のアプリケーションルールと、外部の複数のデバイスと前記クラウドサーバを連携動作させることができる。 【選択図】 図１１ 請求の範囲 開く 詳細な説明 開く 図面 開く 図面 閉じる 代表図面 1 2 3 4 5 6 7 8 9 ... 拡大および回転 代表図面 >,"特開2025-031728
審査中 (拒絶理由通知)"
